timestamp,open,high,low,close,volume,open_interest
2025-12-02 09:18:00+05:30,635.3,635.3,635.3,635.3,75,225
2025-12-02 09:19:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:20:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:21:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:22:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:23:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:24:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:25:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:26:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:27:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:28:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:29:00+05:30,635.3,635.3,635.3,635.3,0,225
2025-12-02 09:30:00+05:30,618.4,618.4,618.35,618.35,150,300
2025-12-02 09:31:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:32:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:33:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:34:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:35:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:36:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:37:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:38:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:39:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:40:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:41:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:42:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:43:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:44:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:45:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:46:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:47:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:48:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:49:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:50:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:51:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:52:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:53:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:54:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:55:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:56:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:57:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:58:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 09:59:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:00:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:01:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:02:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:03:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:04:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:05:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:06:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:07:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:08:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:09:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:10:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:11:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:12:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:13:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:14:00+05:30,618.35,618.35,618.35,618.35,0,300
2025-12-02 10:15:00+05:30,564.05,564.05,564.05,564.05,75,225
2025-12-02 10:16:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:17:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:18:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:19:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:20:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:21:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:22:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:23:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:24:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:25:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:26:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:27:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:28:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:29:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:30:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:31:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:32:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:33:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:34:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:35:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:36:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:37:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:38:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:39:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:40:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:41:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:42:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:43:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:44:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:45:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:46:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:47:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:48:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:49:00+05:30,564.05,564.05,564.05,564.05,0,225
2025-12-02 10:50:00+05:30,588.5,588.5,588.5,588.5,75,225
2025-12-02 10:51:00+05:30,588.5,588.5,588.5,588.5,0,225
2025-12-02 10:52:00+05:30,588.5,588.5,588.5,588.5,0,225
